,Obv_time,wavelen/OD,OD/wavelen,ave_phase,Phase_location
0,0.6166666666666667,0.0025209744877127843,396.6720031773405,-7.689666666666667,-0.021360185185185183
1,1.1333333333333333,0.0013860024770900171,721.4994320208943,-7.027666666666666,-0.019521296296296294
2,1.65,0.0009679170711764871,1033.1463611696781,-1.6165000000000003,-0.004490277777777779
3,2.1666666666666665,0.0007541935647851281,1325.9195605638758,-3.7450000000000006,-0.01040277777777778
4,2.6833333333333336,0.0006271674163844926,1594.470589312213,1.8709999999999998,0.005197222222222222
5,3.2,0.000545287934577795,1833.8935021077975,,
6,3.716666666666667,0.0004902406634060388,2039.8144720438174,,
7,4.233333333333333,0.00045280181917626265,2208.471692581096,,
8,4.733333333333333,0.00042857741501259295,2333.300740942256,,
9,5.266666666666667,0.0004128124340989678,2422.407653932875,,
10,5.783333333333333,0.0004058806968516945,2463.7781687001284,,
11,6.3,0.0004064809520958962,2460.1398782496503,,
12,6.816666666666666,0.0004146694720387721,2411.5592476180614,,
13,7.333333333333333,0.0004312345313915877,2318.92375773576,,
14,7.85,0.00045789103691707425,2183.9256927431484,,
15,8.366666666666667,0.0004977523432975336,2009.031224996656,,
16,8.883333333333333,0.0005563482397468015,1797.4353625260105,,
17,9.4,0.0006439135180424386,1553.003581971846,,
18,9.916666666666666,0.000781127208471791,1280.2012132651416,,
19,10.433333333333334,0.001016247907660224,984.0118660636335,,
20,10.95,0.0014928795880576075,669.8463881478241,,
21,11.466666666666667,0.002911682675612869,343.4440189432778,,
22,11.983333333333333,0.0928716899334382,10.767543916953672,,
23,12.25,-0.006195848910391026,-161.39838373445568,,
