,Obv_time,wavelen/OD,ave_phase,Phase_location
0,0.6166666666666667,0.0025209744877127843,-7.689666666666667,-0.021360185185185183
1,1.1333333333333333,0.0013860024770900171,-7.027666666666666,-0.019521296296296294
2,1.65,0.0009679170711764871,-1.6165000000000003,-0.004490277777777779
3,2.1666666666666665,0.0007541935647851281,-3.7450000000000006,-0.01040277777777778
4,2.6833333333333336,0.0006271674163844926,1.8709999999999998,0.005197222222222222
5,3.2,0.000545287934577795,-2.028333333333333,-0.005634259259259258
6,3.716666666666667,0.0004902406634060388,-2.2720000000000002,-0.006311111111111112
7,4.233333333333333,0.00045280181917626265,-3.561,-0.009891666666666667
8,4.733333333333333,0.00042857741501259295,-0.8523333333333332,-0.002367592592592592
9,5.266666666666667,0.0004128124340989678,-3.5316666666666663,-0.009810185185185184
10,5.783333333333333,0.0004058806968516945,-2.281,-0.006336111111111112
11,6.3,0.0004064809520958962,-7.7636666666666665,-0.02156574074074074
12,6.816666666666666,0.0004146694720387721,-5.194333333333333,-0.014428703703703702
13,7.333333333333333,0.0004312345313915877,-4.570500000000001,-0.012695833333333335
14,7.85,0.00045789103691707425,-2.5475,-0.007076388888888888
15,8.366666666666667,0.0004977523432975336,-4.153666666666666,-0.011537962962962962
16,8.883333333333333,0.0005563482397468015,-9.714500000000001,-0.026984722222222226
17,9.4,0.0006439135180424386,-6.175,-0.017152777777777777
18,9.916666666666666,0.000781127208471791,0.9926666666666666,0.002757407407407407
19,10.433333333333334,0.001016247907660224,0.8264999999999998,0.002295833333333333
20,10.95,0.0014928795880576075,-1.3183333333333334,-0.003662037037037037
21,11.466666666666667,0.002911682675612869,0.3775,0.001048611111111111
22,11.983333333333333,0.0928716899334382,8.907666666666666,0.024743518518518515
23,12.25,-0.006195848910391026,-78.9304,-0.21925111111111112
